Date,numVisit,From,To,Description,,,,
2018-09-19,1,Cambodia,China,Xi Jinping was in Beijing Municipality and met with the following: • Norodom Sihamoni (Cambodian King) • Norodom Monineath Sihanouk (Cambodian Queen Mother),,,,
2018-11-01,1,El Salvador,China,Xi Jinping was in Beijing Municipality and met with the following: • Salvador Sanchez Ceren (President of El Salvador),,,,
2018-11-02,1,Dominican Republic,China,Xi Jinping was in Beijing Municipality and met with the following: • Danilo Medina (Dominican Republic President),,,,
2018-11-15,1,China,Papua New Guinea,"Xi Jinping travelled to Papua New Guinea, Port Moresby",,,,
2018-11-27,1,China,Spain,"Xi Jinping travelled to Spain, Madrid and met with the following: • Pedro Sanchez (Spanish Prime Minister)",,,,
2018-11-28,6,Spain,Argentina,"Xi Jinping travelled to Argentina, Buenos Aires and met with the following: • Cyril Ramaphosa (South African President)• Michel Teme (Brazilian President)• Vladimir Putin (Russian President)• Narendra Modi (Indian Prime Minister)• Shinzo Abe (Japanese Prime Minister)• Donald Trump (U.S. President)",,,,
2018-11-29,6,Spain,Argentina,"Xi Jinping travelled to Argentina, Buenos Aires and met with the following: • Cyril Ramaphosa (South African President)• Michel Teme (Brazilian President)• Vladimir Putin (Russian President)• Narendra Modi (Indian Prime Minister)• Shinzo Abe (Japanese Prime Minister)• Donald Trump (U.S. President)",,,,
2018-11-30,6,Spain,Argentina,"Xi Jinping travelled to Argentina, Buenos Aires and met with the following: • Cyril Ramaphosa (South African President)• Michel Teme (Brazilian President)• Vladimir Putin (Russian President)• Narendra Modi (Indian Prime Minister)• Shinzo Abe (Japanese Prime Minister)• Donald Trump (U.S. President)",,,,
2018-12-01,6,Spain,Argentina,"Xi Jinping travelled to Argentina, Buenos Aires and met with the following: • Cyril Ramaphosa (South African President)• Michel Teme (Brazilian President)• Vladimir Putin (Russian President)• Narendra Modi (Indian Prime Minister)• Shinzo Abe (Japanese Prime Minister)• Donald Trump (U.S. President)",,,,
2018-12-02,1,Argentina,Panama,"Xi Jinping travelled to Panama, Panama City and met with the following: • Juan Carlos Varela (Panamanian President)",,,,
2018-12-03,1,Argentina,Panama,"Xi Jinping travelled to Panama, Panama City and met with the following: • Juan Carlos Varela (Panamanian President)",,,,
2018-12-04,1,Panama,Portugal,"Xi Jinping travelled to Portugal, Lisbon and met with the following: • Eduardo Ferro Rodrigues (President of the Portuguese Parliament) • Antonio Costa (Portuguese Prime Minister)",,,,
2018-12-05,1,Panama,Portugal,"Xi Jinping travelled to Portugal, Lisbon and met with the following: • Eduardo Ferro Rodrigues (President of the Portuguese Parliament) • Antonio Costa (Portuguese Prime Minister)",,,,
2018-12-07,1,North Korea,China,Xi Jinping was in Beijing Municipality and met with the following: • Ri Yong Ho (Foreign Minister of the Democratic People's Republic of Korea (DPRK)),,,,
2018-12-12,1,Ecuador,China,Xi Jinping was in Beijing Municipality and met with the following: • Lenin Moreno Garces (Ecuadorean President),,,,
