Hawker Centre,Stall No,Approx. Stall Area (sqm),Trade,Tendered Bid (per month),Month of Tender
BLK 7 EMPRESS ROAD,01-87,7.14,COOKED FOOD,1399,Oct-2019
BLK 7 EMPRESS ROAD,01-87,7.14,COOKED FOOD,2500,Jan-2021
BLK 7 EMPRESS ROAD,01-87,7.14,COOKED FOOD,1823,May-2022
BLK 7 EMPRESS ROAD,01-87,7.14,COOKED FOOD,2620,Feb-2024
BLK 7 EMPRESS ROAD,01-88,7.14,COOKED FOOD,1313,Jun-2018
BLK 7 EMPRESS ROAD,01-88,7.14,COOKED FOOD,1200,Nov-2018
BLK 7 EMPRESS ROAD,01-88,7.14,COOKED FOOD,1388,Aug-2019
BLK 7 EMPRESS ROAD,01-88,7.14,DRINKS,3339,Nov-2024
BLK 7 EMPRESS ROAD,01-93,7.14,COOKED FOOD,2008,Nov-2022
BLK 7 EMPRESS ROAD,01-70,7.14,COOKED FOOD,2009,Sep-2021
BLK 7 EMPRESS ROAD,01-87,7.14,COOKED FOOD,1588,Feb-2020
BLK 79 CIRCUIT ROAD,01-31,7.1,COOKED FOOD,1650,Apr-2023
BLK 79 CIRCUIT ROAD,01-31,7.1,COOKED FOOD,2000,Jul-2024
BLK 79 CIRCUIT ROAD,01-35,7.1,INDIAN CUISINE,51,Dec-2019
BLK 79 CIRCUIT ROAD,01-36,7.1,COOKED FOOD,1388,Aug-2018
BLK 79 CIRCUIT ROAD,01-36,7.1,COOKED FOOD,800,Aug-2020
BLK 79 CIRCUIT ROAD,01-36,7.1,COOKED FOOD,1700,Aug-2022
BLK 79 CIRCUIT ROAD,01-41,7.1,COOKED FOOD,1500,Oct-2020
BLK 79 CIRCUIT ROAD,01-42,7.1,COOKED FOOD,1268,Jul-2019
BLK 79 CIRCUIT ROAD,01-44,7.1,COOKED FOOD,1344,Jan-2019
BLK 79 CIRCUIT ROAD,01-44,7.1,COOKED FOOD,1310,Nov-2019
BLK 79 CIRCUIT ROAD,01-49,7.1,COOKED FOOD,1689,Jul-2018
BLK 79 CIRCUIT ROAD,01-49,7.1,COOKED FOOD,1388,Nov-2018
BLK 79 CIRCUIT ROAD,01-50,7.1,COOKED FOOD,1603,Aug-2018
BLK 79 CIRCUIT ROAD,01-51,7.1,COOKED FOOD,2200,Oct-2024
BLK 79 CIRCUIT ROAD,01-52,7.1,COOKED FOOD,638,Jul-2019
BLK 79 CIRCUIT ROAD,01-54,7.11,HALAL COOKED FOOD,500,Nov-2018
BLK 79 CIRCUIT ROAD,01-55,7.1,COOKED FOOD,1708,Aug-2023
BLK 79 CIRCUIT ROAD,01-58,7.1,COOKED FOOD,2010,Mar-2023
BLK 79 CIRCUIT ROAD,01-58,7.1,COOKED FOOD,2008,Jul-2024
BLK 79 CIRCUIT ROAD,01-59,7.1,COOKED FOOD,1388,Mar-2019
BLK 79 CIRCUIT ROAD,01-13,7.1,INDIAN CUISINE,602,Dec-2018
BLK 79 CIRCUIT ROAD,01-13,7.1,INDIAN CUISINE,1250,Feb-2020
BLK 79 CIRCUIT ROAD,01-22,7.1,COOKED FOOD,1500,Oct-2018
BLK 79 CIRCUIT ROAD,01-22,7.1,COOKED FOOD,888,Oct-2019
BLK 79 CIRCUIT ROAD,01-01,7.1,COOKED FOOD,2638,Oct-2024
BLK 79 CIRCUIT ROAD,01-25,7.1,COOKED FOOD,668,Mar-2019
BLK 79 CIRCUIT ROAD,01-25,7.1,INDIAN CUISINE,300,Jul-2023
BLK 79 CIRCUIT ROAD,01-25,7.1,COOKED FOOD,1588,Sep-2024
BLK 79 CIRCUIT ROAD,01-02,7.1,COOKED FOOD,1800,Mar-2022
BLK 79 CIRCUIT ROAD,01-02,7.1,COOKED FOOD,2238,Sep-2023
BLK 79 CIRCUIT ROAD,01-02,7.1,HALAL COOKED FOOD,2888,Nov-2024
BLK 79 CIRCUIT ROAD,01-12,7.1,COOKED FOOD,1518,Oct-2018
BLK 79 CIRCUIT ROAD,01-12,7.1,COOKED FOOD,35,Mar-2019
BLK 79 CIRCUIT ROAD,01-29,7.1,INDIAN CUISINE,2319,Sep-2023
BLK 79 CIRCUIT ROAD,01-31,7.1,COOKED FOOD,1810,Dec-2023
BLK 79 CIRCUIT ROAD,01-35,7.1,COOKED FOOD,1602,Dec-2020
BLK 79 CIRCUIT ROAD,01-51,7.1,INDIAN CUISINE,808,Sep-2020
BLK 79 CIRCUIT ROAD,01-51,7.1,INDIAN CUISINE,8,Jun-2023
BLK 79 CIRCUIT ROAD,01-02,7.1,COOKED FOOD,2168,Mar-2021
BLK 79 TELOK BLANGAH DRIVE,01-32,6.36,COOKED FOOD,2600,Oct-2023
BLK 79 TELOK BLANGAH DRIVE,01-14,6.36,COOKED FOOD,2810,Feb-2021
BLK 79 TELOK BLANGAH DRIVE,01-22,6.36,COOKED FOOD,1201,Oct-2019
BLK 79 TELOK BLANGAH DRIVE,01-01,6.36,COOKED FOOD,2688,Feb-2019
BLK 79 TELOK BLANGAH DRIVE,01-08,6.36,COOKED FOOD,2588,Apr-2022
BLK 79 TELOK BLANGAH DRIVE,01-08,6.36,COOKED FOOD,2602,Apr-2023
BLK 79 TELOK BLANGAH DRIVE,01-29,6.36,COOKED FOOD,2800,Dec-2020
BLK 79 TELOK BLANGAH DRIVE,01-31,6.36,COOKED FOOD,3288,Jan-2023
BLK 79 TELOK BLANGAH DRIVE,01-31,6.36,COOKED FOOD,2699,May-2023
BLK 79 TELOK BLANGAH DRIVE,01-23,6.36,COOKED FOOD,2530,Aug-2023
BLK 79A CIRCUIT ROAD,01-63,7.1,COOKED FOOD,1618,Aug-2020
BLK 79A CIRCUIT ROAD,01-65,14.19,COOKED FOOD,3691,Jun-2022
BLK 79A CIRCUIT ROAD,01-69,7.1,COOKED FOOD,1690,Apr-2022
BLK 79A CIRCUIT ROAD,01-69,7.1,COOKED FOOD,2001,Sep-2022
BLK 79A CIRCUIT ROAD,01-74,14.19,HALAL COOKED FOOD,1500,Sep-2018
BLK 79A CIRCUIT ROAD,01-74,14.19,COOKED FOOD,2800,Dec-2021
BLK 79A CIRCUIT ROAD,01-75,7.1,COOKED FOOD,1288,Jun-2019
BLK 79A CIRCUIT ROAD,01-79,7.1,COOKED FOOD,2083,Jan-2024
BLK 79A CIRCUIT ROAD,01-81,7.1,COOKED FOOD,2100,Nov-2024
BLK 79A CIRCUIT ROAD,01-83,7.1,COOKED FOOD,830,Jul-2018
BLK 79A CIRCUIT ROAD,01-83,7.1,COOKED FOOD,1389,Jul-2019
BLK 79A CIRCUIT ROAD,01-85,7.1,COOKED FOOD,1300,Aug-2018
BLK 79A CIRCUIT ROAD,01-85,7.1,COOKED FOOD,608,Jan-2019
BLK 79A CIRCUIT ROAD,01-90,7.1,COOKED FOOD,808,Jul-2018
BLK 79A CIRCUIT ROAD,01-97,7.1,COOKED FOOD,2519,Apr-2021
BLK 79A CIRCUIT ROAD,01-99,7.1,COOKED FOOD,2569,Jun-2021
BLK 79A CIRCUIT ROAD,01-99,7.1,COOKED FOOD,2111,Feb-2024
BLK 79A CIRCUIT ROAD,01-75,7.1,HALAL COOKED FOOD,600,Aug-2023
BLK 79A CIRCUIT ROAD,01-97,7.1,COOKED FOOD,1688,Jan-2022
BLK 79A CIRCUIT ROAD,01-99,7.1,COOKED FOOD,688,Sep-2022
BLK 79A CIRCUIT ROAD,01-63,7.1,COOKED FOOD,508,Dec-2018
BLK 80 CIRCUIT ROAD,02-04,12,HALAL COOKED FOOD,500,Mar-2018
BLK 80 CIRCUIT ROAD,02-04,12,COOKED FOOD,909,Oct-2023
BLK 80 CIRCUIT ROAD,02-05,12,HALAL COOKED FOOD,555,Sep-2018
BLK 80 CIRCUIT ROAD,02-05,12,INDIAN CUISINE,168,Feb-2022
BLK 80 CIRCUIT ROAD,02-05,12,COOKED FOOD,2459,Sep-2024
BLK 80 CIRCUIT ROAD,02-07,12,INDIAN CUISINE,27,Mar-2021
BLK 80 CIRCUIT ROAD,02-07,12,INDIAN CUISINE,202,Mar-2022
BLK 80 CIRCUIT ROAD,02-07,12,INDIAN CUISINE,257,Jun-2024
BLK 80 CIRCUIT ROAD,02-04,12,COOKED FOOD,898,Jun-2023
BLK 80 CIRCUIT ROAD,02-05,12,HALAL COOKED FOOD,500,Jun-2023
BLK 84 MARINE PARADE CENTRAL,01-38,8.4,HALAL COOKED FOOD,2588,Jun-2019
BLK 84 MARINE PARADE CENTRAL,01-38,8.4,HALAL COOKED FOOD,3228,Oct-2021
BLK 84 MARINE PARADE CENTRAL,01-38,8.4,HALAL COOKED FOOD,3001,Apr-2023
BLK 84 MARINE PARADE CENTRAL,01-46,8.4,COOKED FOOD,4399,Apr-2019
BLK 84 MARINE PARADE CENTRAL,01-51,8.4,COOKED FOOD,6448.26,Apr-2019
BLK 84 MARINE PARADE CENTRAL,01-51,8.4,DRINKS,5300,Sep-2019
BLK 84 MARINE PARADE CENTRAL,01-52,8.4,COOKED FOOD,6800,Sep-2023
BLK 84 MARINE PARADE CENTRAL,01-29,8.4,COOKED FOOD,10158,Jul-2024
BLK 84 MARINE PARADE CENTRAL,01-38,8.4,INDIAN CUISINE,313,Mar-2020
BLK 84 MARINE PARADE CENTRAL,01-46,8.4,COOKED FOOD,4089,Mar-2020
BLK 85 BEDOK NORTH STREET 4,01-01,5.88,INDIAN CUISINE,789,May-2018
BLK 85 BEDOK NORTH STREET 4,01-01,5.88,INDIAN CUISINE,1610,Aug-2019
BLK 85 REDHILL LANE,01-32,6.75,HALAL COOKED FOOD,1718,Nov-2020
BLK 85 REDHILL LANE,01-32,6.75,DRINKS,4518,May-2022
BLK 85 REDHILL LANE,01-36,6.75,DRINKS,5008,Dec-2022
BLK 85 REDHILL LANE,01-38,6.75,COOKED FOOD,3150,Apr-2023
BLK 85 REDHILL LANE,01-43,6.75,INDIAN CUISINE,2888,Nov-2019
BLK 85 REDHILL LANE,01-43,6.75,INDIAN CUISINE,1500,May-2021
BLK 85 REDHILL LANE,01-43,6.75,INDIAN CUISINE,318,Feb-2023
BLK 85 REDHILL LANE,01-45,6.75,DRINKS,5018,Nov-2018
BLK 85 REDHILL LANE,01-45,6.75,DRINKS,3822,Oct-2019
BLK 85 REDHILL LANE,01-62,6.75,HALAL COOKED FOOD,329.9,Apr-2023
BLK 85 REDHILL LANE,01-62,6.75,COOKED FOOD,4250,Apr-2024
BLK 85 REDHILL LANE,01-63,6.75,HALAL COOKED FOOD,329.9,Apr-2023
BLK 85 REDHILL LANE,01-65,6.75,HALAL COOKED FOOD,2011,Jun-2019
BLK 85 REDHILL LANE,01-65,6.75,COOKED FOOD,4500,Oct-2020
BLK 85 REDHILL LANE,01-65,6.75,COOKED FOOD,5118,Dec-2021
BLK 85 REDHILL LANE,01-65,6.75,COOKED FOOD,4600,Oct-2022
BLK 85 REDHILL LANE,01-72,6.75,COOKED FOOD,4200,Mar-2023
BLK 85 REDHILL LANE,01-18,6.75,COOKED FOOD,4577,Apr-2023
BLK 85 REDHILL LANE,01-20,6.75,COOKED FOOD,4186,Nov-2023
BLK 85 REDHILL LANE,01-03,6.75,DRINKS,5908,Nov-2024
BLK 85 REDHILL LANE,01-09,6.75,HALAL COOKED FOOD,750,Jan-2018
BLK 85 REDHILL LANE,01-09,6.75,HALAL COOKED FOOD,1000,Jun-2019
BLK 85 REDHILL LANE,01-11,6.75,HALAL COOKED FOOD,351,Oct-2019
BLK 85 REDHILL LANE,01-11,6.75,INDIAN CUISINE,36,Jan-2022
BLK 85 REDHILL LANE,01-46,6.75,INDIAN CUISINE,1503,Nov-2021
BLK 85 REDHILL LANE,01-03,6.75,COOKED FOOD,4000,Aug-2023
BLK 93 TOA PAYOH LORONG 4,01-33,6.25,COOKED FOOD,2000,Jul-2021
BLK 93 TOA PAYOH LORONG 4,01-35,5.6,COOKED FOOD,1266,Feb-2019
BLK 93 TOA PAYOH LORONG 4,01-35,5.6,INDIAN CUISINE,108,Mar-2020
BLK 93 TOA PAYOH LORONG 4,01-36,5.6,COOKED FOOD,1468,Mar-2020
BLK 93 TOA PAYOH LORONG 4,01-38,5.75,COOKED FOOD,3598,Mar-2024
BLK 93 TOA PAYOH LORONG 4,01-41,4.5,COOKED FOOD,2480,Feb-2018
BLK 93 TOA PAYOH LORONG 4,01-41,4.5,COOKED FOOD,1088,Jun-2018
BLK 93 TOA PAYOH LORONG 4,01-41,4.5,DRINKS,2500,Dec-2018
BLK 93 TOA PAYOH LORONG 4,01-41,4.5,COOKED FOOD,1444,Jun-2019
BLK 93 TOA PAYOH LORONG 4,01-41,4.5,DRINKS,1508,Jul-2020
BLK 93 TOA PAYOH LORONG 4,01-42,4.5,INDIAN CUISINE,100,Feb-2018
BLK 93 TOA PAYOH LORONG 4,01-42,4.5,INDIAN CUISINE,251,Nov-2020
BLK 93 TOA PAYOH LORONG 4,01-42,4.5,HALAL COOKED FOOD,500,Jun-2021
BLK 93 TOA PAYOH LORONG 4,01-42,4.5,INDIAN CUISINE,237,Oct-2023
BLK 93 TOA PAYOH LORONG 4,01-45,4.5,INDIAN CUISINE,145,Feb-2020
BLK 93 TOA PAYOH LORONG 4,01-45,4.5,COOKED FOOD,2337,May-2021
BLK 93 TOA PAYOH LORONG 4,01-45,4.5,DRINKS,2599,Apr-2022
BLK 93 TOA PAYOH LORONG 4,01-45,4.5,COOKED FOOD,2300,Aug-2022
BLK 93 TOA PAYOH LORONG 4,01-47,5,DRINKS,1500,Jan-2020
BLK 93 TOA PAYOH LORONG 4,01-47,5,HALAL COOKED FOOD,3519,Nov-2020
BLK 93 TOA PAYOH LORONG 4,01-47,5,COOKED FOOD,1999,Feb-2023
BLK 93 TOA PAYOH LORONG 4,01-48,4.5,COOKED FOOD,300,Jul-2021
BLK 93 TOA PAYOH LORONG 4,01-48,4.5,COOKED FOOD,1001,Nov-2022
BLK 93 TOA PAYOH LORONG 4,01-51,4.5,COOKED FOOD,3200,Nov-2023
BLK 93 TOA PAYOH LORONG 4,01-52,4.5,HALAL COOKED FOOD,150,Apr-2018
BLK 93 TOA PAYOH LORONG 4,01-54,5,INDIAN CUISINE,124,May-2021
BLK 93 TOA PAYOH LORONG 4,01-54,5,INDIAN CUISINE,60,Dec-2022
BLK 93 TOA PAYOH LORONG 4,01-55,5.75,COOKED FOOD,4009,May-2024
BLK 93 TOA PAYOH LORONG 4,01-58,5.6,COOKED FOOD,3048,Mar-2023
BLK 93 TOA PAYOH LORONG 4,01-59,6.25,COOKED FOOD,2118,Jul-2021
BLK 93 TOA PAYOH LORONG 4,01-59,6.25,COOKED FOOD,2828,Nov-2022
BLK 93 TOA PAYOH LORONG 4,01-60,6.25,COOKED FOOD,3002,Feb-2023
BLK 93 TOA PAYOH LORONG 4,01-47,5,COOKED FOOD,2334,Sep-2021
CHOMP CHOMP FOOD CENTRE,01-30,6.2,HALAL COOKED FOOD,901,Apr-2018
CHOMP CHOMP FOOD CENTRE,01-30,6.2,INDIAN CUISINE,400,Oct-2019
CHOMP CHOMP FOOD CENTRE,01-30,6.2,COOKED FOOD,3401.6,Dec-2022
CHOMP CHOMP FOOD CENTRE,01-30,6.2,COOKED FOOD,2610,Oct-2023
CHOMP CHOMP FOOD CENTRE,01-30,6.2,COOKED FOOD,3280,Sep-2024
CHOMP CHOMP FOOD CENTRE,01-30,6.2,COOKED FOOD,200,Jun-2023
CHOMP CHOMP FOOD CENTRE,01-13,6.4,HALAL COOKED FOOD,679,Mar-2018
CHOMP CHOMP FOOD CENTRE,01-13,6.4,HALAL COOKED FOOD,1280,Apr-2021
CHOMP CHOMP FOOD CENTRE,01-13,6.4,INDIAN CUISINE,130,Dec-2022
CHOMP CHOMP FOOD CENTRE,01-13,6.4,HALAL COOKED FOOD,500,Oct-2023
CHOMP CHOMP FOOD CENTRE,01-15,6.4,DRINKS,4018.7,Jul-2018
CHOMP CHOMP FOOD CENTRE,01-15,6.4,COOKED FOOD,2580,Apr-2019
CHOMP CHOMP FOOD CENTRE,01-15,6.4,HALAL COOKED FOOD,300,Jan-2020
CHOMP CHOMP FOOD CENTRE,01-22,6.4,DRINKS,4500,Oct-2018
CHOMP CHOMP FOOD CENTRE,01-03,6.2,COOKED FOOD,2889,Jan-2020
CHOMP CHOMP FOOD CENTRE,01-07,6.2,HALAL COOKED FOOD,1167,Jul-2018
CHOMP CHOMP FOOD CENTRE,01-08,6.2,INDIAN CUISINE,1380,Jan-2022
CHOMP CHOMP FOOD CENTRE,01-08,6.2,HALAL COOKED FOOD,222,Jan-2023
CHOMP CHOMP FOOD CENTRE,01-08,6.2,HALAL COOKED FOOD,888,Mar-2024
CHOMP CHOMP FOOD CENTRE,01-09,6.2,HALAL COOKED FOOD,450,Jan-2018
CHOMP CHOMP FOOD CENTRE,01-09,6.2,HALAL COOKED FOOD,2577,Aug-2018
CHOMP CHOMP FOOD CENTRE,01-09,6.2,HALAL COOKED FOOD,2500,Feb-2021
CHOMP CHOMP FOOD CENTRE,01-09,6.2,INDIAN CUISINE,250,Dec-2021
CHOMP CHOMP FOOD CENTRE,01-09,6.2,INDIAN CUISINE,100,Mar-2023
CHOMP CHOMP FOOD CENTRE,01-09,6.2,INDIAN CUISINE,100,Aug-2024
CHOMP CHOMP FOOD CENTRE,01-10,6.2,HALAL COOKED FOOD,675,Jan-2018
CHOMP CHOMP FOOD CENTRE,01-10,6.2,INDIAN CUISINE,200,Jun-2018
CHOMP CHOMP FOOD CENTRE,01-10,6.2,HALAL COOKED FOOD,606,Feb-2019
CHOMP CHOMP FOOD CENTRE,01-10,6.2,INDIAN CUISINE,213,Sep-2020
CHOMP CHOMP FOOD CENTRE,01-10,6.2,INDIAN CUISINE,200,Nov-2021
CHOMP CHOMP FOOD CENTRE,01-10,6.2,COOKED FOOD,2388,Jan-2023
CHOMP CHOMP FOOD CENTRE,01-10,6.2,COOKED FOOD,1590,Jan-2024
CHOMP CHOMP FOOD CENTRE,01-10,6.2,COOKED FOOD,2500,Oct-2024
CHOMP CHOMP FOOD CENTRE,01-11,6.2,INDIAN CUISINE,1351,Jul-2021
CHOMP CHOMP FOOD CENTRE,01-11,6.2,COOKED FOOD,3380,Feb-2022
CHOMP CHOMP FOOD CENTRE,01-11,6.2,COOKED FOOD,3010,Jan-2023
CHOMP CHOMP FOOD CENTRE,01-11,6.2,COOKED FOOD,2508,May-2023
CHOMP CHOMP FOOD CENTRE,01-11,6.2,INDIAN CUISINE,1800,Nov-2024
CHOMP CHOMP FOOD CENTRE,01-26,6.2,COOKED FOOD,2689.9,Dec-2022
CHOMP CHOMP FOOD CENTRE,01-26,6.2,INDIAN CUISINE,300,Oct-2023
CHOMP CHOMP FOOD CENTRE,01-26,6.2,COOKED FOOD,1388,Aug-2024
COMMONWEALTH CRESCENT MARKET,02-64,8.5,HALAL COOKED FOOD,100,Jun-2018
COMMONWEALTH CRESCENT MARKET,02-64,8.5,INDIAN CUISINE,900,May-2021
COMMONWEALTH CRESCENT MARKET,02-64,8.5,HALAL COOKED FOOD,50,Feb-2023
COMMONWEALTH CRESCENT MARKET,02-64,8.5,INDIAN CUISINE,400,Jul-2022
COMMONWEALTH CRESCENT MARKET,02-66,8.5,INDIAN CUISINE,78.6,Sep-2019
COMMONWEALTH CRESCENT MARKET,02-66,8.5,INDIAN CUISINE,400,Jun-2021
COMMONWEALTH CRESCENT MARKET,02-66,8.5,HALAL COOKED FOOD,16,May-2023
COMMONWEALTH CRESCENT MARKET,02-66,8.5,HALAL COOKED FOOD,310,Aug-2024
COMMONWEALTH CRESCENT MARKET,02-67,8.5,INDIAN CUISINE,78.6,Sep-2019
COMMONWEALTH CRESCENT MARKET,02-67,8.5,COOKED FOOD,504,May-2021
COMMONWEALTH CRESCENT MARKET,02-67,8.5,HALAL COOKED FOOD,213.97,Apr-2022
COMMONWEALTH CRESCENT MARKET,02-67,8.5,HALAL COOKED FOOD,500,Jan-2024
COMMONWEALTH CRESCENT MARKET,02-70,8.5,COOKED FOOD,1000,Apr-2024
COMMONWEALTH CRESCENT MARKET,02-71,8.5,HALAL COOKED FOOD,100,Apr-2018
COMMONWEALTH CRESCENT MARKET,02-71,8.5,INDIAN CUISINE,108,Nov-2018
COMMONWEALTH CRESCENT MARKET,02-71,8.5,INDIAN CUISINE,20,Feb-2020
COMMONWEALTH CRESCENT MARKET,02-71,8.5,COOKED FOOD,750,Jan-2024
COMMONWEALTH CRESCENT MARKET,02-72,8.5,HALAL COOKED FOOD,100,Apr-2018
COMMONWEALTH CRESCENT MARKET,02-72,8.5,HALAL COOKED FOOD,600,Oct-2020
COMMONWEALTH CRESCENT MARKET,02-72,8.5,COOKED FOOD,1002,May-2022
COMMONWEALTH CRESCENT MARKET,02-73,8.5,HALAL COOKED FOOD,105,Jul-2018
COMMONWEALTH CRESCENT MARKET,02-73,8.5,INDIAN CUISINE,800,Mar-2019
COMMONWEALTH CRESCENT MARKET,02-73,8.5,HALAL COOKED FOOD,350,Sep-2020
COMMONWEALTH CRESCENT MARKET,02-73,8.5,COOKED FOOD,800,Jun-2021
COMMONWEALTH CRESCENT MARKET,02-73,8.5,COOKED FOOD,1288,Oct-2021
COMMONWEALTH CRESCENT MARKET,02-73,8.5,HALAL COOKED FOOD,255,Oct-2022
COMMONWEALTH CRESCENT MARKET,02-73,8.5,HALAL COOKED FOOD,600,Feb-2023
COMMONWEALTH CRESCENT MARKET,02-73,8.5,COOKED FOOD,801,Apr-2024
COMMONWEALTH CRESCENT MARKET,02-76,8.5,COOKED FOOD,700,Jun-2019
COMMONWEALTH CRESCENT MARKET,02-76,8.5,COOKED FOOD,700,Jul-2020
COMMONWEALTH CRESCENT MARKET,02-80,8.5,COOKED FOOD,600,Feb-2020
COMMONWEALTH CRESCENT MARKET,02-80,8.5,COOKED FOOD,518,Feb-2023
COMMONWEALTH CRESCENT MARKET,02-81,8.5,COOKED FOOD,328,Jan-2018
COMMONWEALTH CRESCENT MARKET,01-82,8.5,COOKED FOOD,533,Nov-2022
COMMONWEALTH CRESCENT MARKET,02-82,8.5,COOKED FOOD,1000,Apr-2018
COMMONWEALTH CRESCENT MARKET,02-82,8.5,COOKED FOOD,808,Nov-2019
COMMONWEALTH CRESCENT MARKET,02-87,8.5,COOKED FOOD,1339,Jan-2024
COMMONWEALTH CRESCENT MARKET,02-87,8.5,COOKED FOOD,888,Jun-2024
COMMONWEALTH CRESCENT MARKET,02-90,8.5,COOKED FOOD,1300,Apr-2019
COMMONWEALTH CRESCENT MARKET,02-90,8.5,COOKED FOOD,1577.57,Nov-2021
COMMONWEALTH CRESCENT MARKET,02-91,8.5,COOKED FOOD,365,Jun-2019
COMMONWEALTH CRESCENT MARKET,02-91,8.5,COOKED FOOD,944,Mar-2023
COMMONWEALTH CRESCENT MARKET,02-91,8.5,COOKED FOOD,1002,Aug-2024
COMMONWEALTH CRESCENT MARKET,01-92,8.5,COOKED FOOD,1671.03,Feb-2022
COMMONWEALTH CRESCENT MARKET,02-92,8.5,COOKED FOOD,588,Mar-2018
COMMONWEALTH CRESCENT MARKET,02-92,8.5,COOKED FOOD,400,Dec-2018
COMMONWEALTH CRESCENT MARKET,02-92,8.5,COOKED FOOD,501,Jul-2020
COMMONWEALTH CRESCENT MARKET,02-92,8.5,INDIAN CUISINE,10,Sep-2023
COMMONWEALTH CRESCENT MARKET,02-93,8.5,COOKED FOOD,538,Jun-2018
COMMONWEALTH CRESCENT MARKET,02-93,8.5,INDIAN CUISINE,103,May-2024
COMMONWEALTH CRESCENT MARKET,02-96,8.5,COOKED FOOD,428,Jan-2018
COMMONWEALTH CRESCENT MARKET,02-96,8.5,COOKED FOOD,1419,Jul-2018
COMMONWEALTH CRESCENT MARKET,02-96,8.5,COOKED FOOD,718,Sep-2019
COMMONWEALTH CRESCENT MARKET,02-97,8.5,COOKED FOOD,688,Aug-2019
COMMONWEALTH CRESCENT MARKET,02-97,8.5,COOKED FOOD,1301,Oct-2020
COMMONWEALTH CRESCENT MARKET,02-07,8.5,HALAL COOKED FOOD,780,Apr-2021
DUNMAN FOOD CENTRE,02-13,6,COOKED FOOD,1700,Feb-2018
DUNMAN FOOD CENTRE,02-16,6,COOKED FOOD,1109,Apr-2018
DUNMAN FOOD CENTRE,02-16,6,COOKED FOOD,1310,Aug-2018
DUNMAN FOOD CENTRE,01-01,6,HALAL COOKED FOOD,22.22,Feb-2022
DUNMAN FOOD CENTRE,01-02,6,HALAL COOKED FOOD,170,Apr-2019
DUNMAN FOOD CENTRE,01-02,6,HALAL COOKED FOOD,520,Nov-2022
DUNMAN FOOD CENTRE,01-03,13,COOKED FOOD,1400,Jan-2019
DUNMAN FOOD CENTRE,01-07,6,COOKED FOOD,2400,Jun-2021
DUNMAN FOOD CENTRE,01-07,6,INDIAN CUISINE,108,May-2022
DUNMAN FOOD CENTRE,01-07,6,COOKED FOOD,2200,Aug-2024
DUNMAN FOOD CENTRE,01-11,6,HALAL COOKED FOOD,150,Oct-2018
DUNMAN FOOD CENTRE,01-11,6,HALAL COOKED FOOD,300,Apr-2019
DUNMAN FOOD CENTRE,01-11,6,INDIAN CUISINE,150,Aug-2020
DUNMAN FOOD CENTRE,02-26,6,INDIAN CUISINE,600,Nov-2024
DUNMAN FOOD CENTRE,02-27,6,DRINKS,6929,Oct-2024
DUNMAN FOOD CENTRE,02-29,6,COOKED FOOD,1600,Mar-2020
DUNMAN FOOD CENTRE,02-29,6,COOKED FOOD,2520,Nov-2020
EAST COAST LAGOON FOOD VILLAGE,01-31,9,COOKED FOOD,5668,Apr-2023
EAST COAST LAGOON FOOD VILLAGE,01-32,9,COOKED FOOD,1368,Jan-2019
EAST COAST LAGOON FOOD VILLAGE,01-32,9,COOKED FOOD,1800,May-2019
EAST COAST LAGOON FOOD VILLAGE,01-34,9,COOKED FOOD,2000,Mar-2018
EAST COAST LAGOON FOOD VILLAGE,01-35,9,COOKED FOOD,3800,Mar-2023
EAST COAST LAGOON FOOD VILLAGE,01-35,9,COOKED FOOD,3500,Apr-2024
EAST COAST LAGOON FOOD VILLAGE,01-35,9,COOKED FOOD,5589,Jul-2022
EAST COAST LAGOON FOOD VILLAGE,01-36,9,HALAL COOKED FOOD,1001,Feb-2018
EAST COAST LAGOON FOOD VILLAGE,01-36,9,COOKED FOOD,1108,Aug-2018
EAST COAST LAGOON FOOD VILLAGE,01-36,9,COOKED FOOD,1409,Jun-2019
EAST COAST LAGOON FOOD VILLAGE,01-47,9,INDIAN CUISINE,38,Mar-2018
EAST COAST LAGOON FOOD VILLAGE,01-48,9,INDIAN CUISINE,300,Mar-2018
EAST COAST LAGOON FOOD VILLAGE,01-48,9,INDIAN CUISINE,2500,Aug-2021
EAST COAST LAGOON FOOD VILLAGE,01-52,9,INDIAN CUISINE,4850,Mar-2021
EAST COAST LAGOON FOOD VILLAGE,01-52,9,INDIAN CUISINE,5009,Jan-2022
EAST COAST LAGOON FOOD VILLAGE,01-52,9,INDIAN CUISINE,300,Jul-2023
EAST COAST LAGOON FOOD VILLAGE,01-57,9,INDIAN CUISINE,3567,Jan-2023
EAST COAST LAGOON FOOD VILLAGE,01-57,9,INDIAN CUISINE,1751,May-2023
EAST COAST LAGOON FOOD VILLAGE,01-18,9,COOKED FOOD,5668,Mar-2022
EAST COAST LAGOON FOOD VILLAGE,01-19,9,COOKED FOOD,3005,May-2018
EAST COAST LAGOON FOOD VILLAGE,01-19,9,COOKED FOOD,999,Sep-2018
EAST COAST LAGOON FOOD VILLAGE,01-12,9,COOKED FOOD,5566,Nov-2021
EAST COAST LAGOON FOOD VILLAGE,01-48,9,INDIAN CUISINE,2100,Sep-2023
GOLDEN MILE FOOD CENTRE,01-57,6.7,COOKED FOOD,1200,Jan-2020
GOLDEN MILE FOOD CENTRE,01-61,6.7,COOKED FOOD,3333,Sep-2023
