"","lon","lat","type","loctype","address","north","south","east","west"
"58",103.76449,1.3133068,"premise","rooftop","448 clementi ave 3, 448, singapore 120448",1.3146643802915,1.3119664197085,103.765861830291,103.763163869709
"59",103.8565177,1.3681603,"street_address","rooftop","453a ang mo kio ave 10, singapore 561453",1.3695092802915,1.3668113197085,103.857866680291,103.855168719709
"60",103.8793293,1.3170535,"premise","rooftop","49 sims pl, singapore 380049",1.3183835802915,1.3156856197085,103.880653730291,103.877955769709
"61",103.903711,1.320065,"street_address","rooftop","4a eunos cres, singapore 402004",1.3214139802915,1.3187160197085,103.905059980291,103.902362019709
"62",103.883923,1.302428,"street_address","rooftop","4a jln batu, singapore 432004",1.3037769802915,1.3010790197085,103.885271980292,103.882574019708
"63",103.7701029,1.441109,"premise","rooftop","4a woodlands centre rd, singapore 731004",1.4422580302915,1.4395600697085,103.770972480292,103.768274519708
"64",103.759131,1.311936,"street_address","rooftop","502 w coast dr, singapore 120502",1.3132849802915,1.3105870197085,103.760479980292,103.757782019709
"65",103.7597825,1.3118695,"premise","rooftop","503 w coast dr, singapore 120503",1.3131384802915,1.3104405197085,103.761105780292,103.758407819708
"66",103.7185122,1.3497487,"premise","rooftop","505 jurong west street 52, singapore 640505",1.3510189302915,1.3483209697085,103.719815880292,103.717117919708
"67",103.9156908,1.3056956,"premise","rooftop","50a marine terrace, singapore 441050",1.3070829302915,1.3043849697085,103.917114730292,103.914416769708
"68",103.8858505,1.308232,"premise","rooftop","51 old airport rd, singapore 390051",1.3096095302915,1.3069115697085,103.887177880292,103.884479919708
"69",103.9303677,1.3331595,"establishment","rooftop","blk 511 bedok north street, 3, singapore 460511",1.3345084802915,1.3318105197085,103.931716680292,103.929018719708
"70",103.8543316,1.3727538,"street_address","rooftop","527 ang mo kio ave 10, singapore 560527",1.3741027802915,1.3714048197085,103.855680580292,103.852982619708
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",103.9415905,1.3245213,"premise","geometric_center","58 new upper changi rd, singapore 461058",1.3257347302915,1.3230367697085,103.943064930291,103.940366969709
"73",103.8430903,1.2766254,"establishment","rooftop","6 tanjong pagar plaza, singapore 081006",1.2779743802915,1.2752764197085,103.844439280291,103.841741319709
"74",103.8407372,1.380976,"premise","rooftop","628 ang mo kio ave 4, singapore 560628",1.3823334802915,1.3796355197085,103.841999980292,103.839302019708
"75",103.9139817,1.3329118,"establishment","rooftop","630 bedok reservoir rd, singapore 470630",1.3342607802915,1.3315628197085,103.915330680292,103.912632719708
"76",103.8700885,1.3214913,"premise","rooftop","69 geylang bahru, singapore 330069",1.3228684302915,1.3201704697085,103.871351530292,103.868653569708
"77",103.8057946,1.3164558,"street_address","rooftop","7 empress rd, singapore 260007",1.3178047802915,1.3151068197085,103.807143580291,103.804445619709
"78",103.846562,1.372185,"street_address","rooftop","724 ang mo kio ave 6, singapore 560724",1.3735339802915,1.3708360197085,103.847910980292,103.845213019708
"79",103.7642661,1.3037847,"establishment","rooftop","726 clementi west street 2, singapore 120726",1.3051336802915,1.3024357197085,103.765615080291,103.762917119709
"80",103.8519727,1.3344784,"premise","rooftop","74 lor 4 toa payoh, block 74, singapore 310074",1.3358881302915,1.3331901697085,103.853364980292,103.850667019708
"81",103.8530114,1.3359699,"premise","rooftop","75 lrg. 5 toa payoh, singapore 310075",1.3373750802915,1.3346771197085,103.854314080292,103.851616119708
"82",103.8182751,1.2878415,"premise","rooftop","79 redhill ln, singapore 150079",1.2892011802915,1.2865032197085,103.819695680292,103.816997719708
"83",103.807598,1.273301,"street_address","rooftop","79 telok blangah dr, singapore 100079",1.2746499802915,1.2719520197085,103.808946980291,103.806249019709
"84",103.887077,1.3278701,"premise","rooftop","80 circuit rd, singapore 370080",1.3291858802915,1.3264879197085,103.888458330291,103.885760369709
"85",103.807777,1.273787,"street_address","rooftop","82 telok blangah dr, singapore 100082",1.2751359802915,1.2724380197085,103.809125980291,103.806428019709
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",103.9393464,1.3312309,"street_address","rooftop","85 bedok north street 4, singapore 460085",1.3325798802915,1.3298819197085,103.940695380292,103.937997419708
"88",103.8182751,1.2874028,"premise","rooftop","85 redhill ln, singapore 150085",1.2886800802915,1.2859821197085,103.819707780291,103.817009819709
"89",103.885528,1.323667,"street_address","rooftop","89 circuit rd, singapore 372052",1.3250159802915,1.3223180197085,103.886876980292,103.884179019708
"90",103.8550044,1.3230772,"premise","rooftop","90 whampoa dr, singapore 320090",1.3244152302915,1.3217172697085,103.856313280292,103.853615319708
"91",103.8496348,1.3385059,"establishment","rooftop","93 lor 4 toa payoh, singapore 310093",1.3398548802915,1.3371569197085,103.850983780292,103.848285819708
"92",103.8954366,1.3151463,"establishment","rooftop","14 haig rd, singapore 430014",1.3164952802915,1.3137973197085,103.896785580292,103.894087619709
"93",103.8388296,1.3741844,"establishment","rooftop","162 ang mo kio ave 4, singapore 560162",1.3755333802915,1.3728354197085,103.840178580291,103.837480619709
"94",103.7977741,1.2994684,"subpremise","rooftop","2a commonwealth dr, 1a, singapore 141002",1.3008173802915,1.2981194197085,103.799123080291,103.796425119709
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA
