,BusStopCode,RoadName,Description,Latitude,Longitude,geometry,area
3925,67711,Buangkok Dr,Bef Sengkang Fire Stn,1.38013294516415,103.8947798896038,POINT (103.8947798896038 1.38013294516415),COMPASSVALE
3926,67719,Buangkok Dr,Opp Sengkang Fire Stn,1.37972132476485,103.89527238603087,POINT (103.8952723860309 1.37972132476485),HOUGANG EAST
3927,67721,Buangkok Dr,Aft Punggol Rd,1.37971349716278,103.89819238601865,POINT (103.8981923860186 1.37971349716278),RIVERVALE
3928,67729,Buangkok Dr,Bef Punggol Rd,1.37948933048443,103.89872566951759,POINT (103.8987256695176 1.37948933048443),HOUGANG EAST
3929,67731,Buangkok Dr,Bef Sengkang East Dr,1.38018738604916,103.90138066955191,POINT (103.9013806695519 1.38018738604916),RIVERVALE
3930,67739,Buangkok Dr,Aft Sengkang East Dr,1.37998423176832,103.90195091871207,POINT (103.9019509187121 1.37998423176832),HOUGANG EAST
3931,67741,Fernvale Rd,Thanggam Stn,1.3971275,103.875622,POINT (103.875622 1.3971275),FERNVALE
3932,67759,Compassvale Rd,COMPASSVALE INT,1.39129522332876,103.89720218513328,POINT (103.8972021851333 1.39129522332876),SENGKANG TOWN CENTRE
3933,67761,Anchorvale Rd,OPP BLK 326D,1.396006,103.887595,POINT (103.887595 1.396006),ANCHORVALE
3934,67769,Anchorvale Rd,BLK 326D,1.39607378603056,103.88766378607079,POINT (103.8876637860708 1.39607378603056),ANCHORVALE
3935,68011,Sengkang West Ave,Bef Jln Kayu,1.3913169267408,103.8701030697383,POINT (103.8701030697383 1.3913169267408),FERNVALE
3936,68019,Sengkang West Ave,Aft Jln Kayu,1.39106694073297,103.87060612962611,POINT (103.8706061296261 1.39106694073297),FERNVALE
3937,68021,Jln Kayu,Opp Blk 448A,1.39317909764213,103.8724709608888,POINT (103.8724709608888 1.39317909764213),FERNVALE
3938,68029,Jln Kayu,Blk 448A,1.39312162118162,103.87264955115819,POINT (103.8726495511582 1.39312162118162),FERNVALE
3939,68031,Jln Kayu,Jln Kayu Shophouse,1.39705024252478,103.87307298530668,POINT (103.8730729853067 1.39705024252478),FERNVALE
3940,68039,Jln Kayu,Aft Abundant Grace Ch,1.39652972197871,103.87311388899468,POINT (103.8731138889947 1.39652972197871),FERNVALE
